X_REGRID,Y_REGRID,Z_REGRID
454569.0418181818,6780230.48,1972.030363636371
452666.5266666667,6780338.431515152,1988.4883075351981
452761.65242424246,6780338.431515152,1969.6412274174959
452856.7781818182,6780338.431515152,1946.9792405275386
452951.90393939393,6780338.431515152,1921.306259024826
453047.0296969697,6780338.431515152,1905.5328260065824
453142.15545454546,6780338.431515152,1896.5131295147562
453237.28121212125,6780338.431515152,1896.8069330559358
453332.406969697,6780338.431515152,1903.4311483253152
453427.5327272727,6780338.431515152,1936.226953584932
453522.6584848485,6780338.431515152,1955.7755517623502
453617.78424242424,6780338.431515152,1946.0513581973519
453712.91000000003,6780338.431515152,1951.6291608391653
453808.03575757577,6780338.431515152,1957.8511088627797
453903.1615151515,6780338.431515152,1962.703752913752
453998.2872727273,6780338.431515152,1971.6042968142976
454093.413030303,6780338.431515152,1974.8787933552646
454188.5387878788,6780338.431515152,1988.0796658896616
454283.66454545455,6780338.431515152,1981.1241103341106
454378.79030303034,6780338.431515152,1993.4325796425865
454473.9160606061,6780338.431515152,1987.0768220668215
454569.0418181818,6780338.431515152,1964.6652898212953
454664.1675757576,6780338.431515152,1940.8536519036663
454759.29333333333,6780338.431515152,1931.4386938993591
454854.4190909091,6780338.431515152,1926.2381299078731
454949.54484848486,6780338.431515152,1922.8400423362214
455044.6706060606,6780338.431515152,1916.8892251684688
455139.7963636364,6780338.431515152,1914.1755146608466
455234.9221212121,6780338.431515152,1914.3111018701372
455330.0478787879,6780338.431515152,1915.323031070813
455425.17363636364,6780338.431515152,1917.1988462263462
455520.29939393944,6780338.431515152,1920.8582387756994
455615.42515151517,6780338.431515152,1930.7405079391015
455710.5509090909,6780338.431515152,1931.145750286658
455805.6766666667,6780338.431515152,1933.2800138039615
455900.8024242424,6780338.431515152,1934.627280001402
451525.0175757576,6780446.383030304,2032.0125476387684
451620.14333333337,6780446.383030304,2035.5787951305756
451715.2690909091,6780446.383030304,2021.902929791479
451810.39484848484,6780446.383030304,2002.8572850723656
451905.5206060606,6780446.383030304,1985.318059994128
452000.64636363636,6780446.383030304,1960.9420548834341
452095.77212121215,6780446.383030304,1931.0251216986464
452190.8978787879,6780446.383030304,1904.9182953995064
452286.0236363636,6780446.383030304,1885.1692336307328
452381.1493939394,6780446.383030304,1869.2155844305025
452476.27515151515,6780446.383030304,1855.3320344582032
452571.40090909094,6780446.383030304,1846.7992648367226
452666.5266666667,6780446.383030304,1838.8299479895877
452761.65242424246,6780446.383030304,1835.8929804171357
452856.7781818182,6780446.383030304,1839.9550272573958
452951.90393939393,6780446.383030304,1844.1693965369182
453047.0296969697,6780446.383030304,1852.4619396110809
453142.15545454546,6780446.383030304,1873.3886477950205
453237.28121212125,6780446.383030304,1911.1696565106372
453332.406969697,6780446.383030304,1943.1949235874122
453427.5327272727,6780446.383030304,1961.980009931085
453522.6584848485,6780446.383030304,1967.5074355695235
453617.78424242424,6780446.383030304,1967.4159187619857
453712.91000000003,6780446.383030304,1980.827006088487
453808.03575757577,6780446.383030304,1989.79
453903.1615151515,6780446.383030304,1997.2391064491878
453998.2872727273,6780446.383030304,1999.4844938841288
454093.413030303,6780446.383030304,1997.857599067667
454188.5387878788,6780446.383030304,1993.3633177933589
454283.66454545455,6780446.383030304,1990.4052474767818
454378.79030303034,6780446.383030304,1976.2229346665665
454473.9160606061,6780446.383030304,1968.4893939394049
454569.0418181818,6780446.383030304,1957.5430171831415
454664.1675757576,6780446.383030304,1939.626829836893
454759.29333333333,6780446.383030304,1924.0947738928257
454854.4190909091,6780446.383030304,1913.8048491232223
454949.54484848486,6780446.383030304,1898.2072197482728
455044.6706060606,6780446.383030304,1892.79
455139.7963636364,6780446.383030304,1888.7902160062135
455234.9221212121,6780446.383030304,1886.9833333333627
455330.0478787879,6780446.383030304,1884.5499067599849
455425.17363636364,6780446.383030304,1880.626829836891
455520.29939393944,6780446.383030304,1880.7806759907323
455615.42515151517,6780446.383030304,1878.8622610723019
455710.5509090909,6780446.383030304,1880.79
455805.6766666667,6780446.383030304,1878.602354312327
455900.8024242424,6780446.383030304,1880.2608624707773
455995.9281818182,6780446.383030304,1881.880909090807
456091.05393939395,6780446.383030304,1888.8902331001032
456186.1796969697,6780446.383030304,1893.1424239202265
456281.3054545455,6780446.383030304,1893.817972027758
456376.4312121212,6780446.383030304,1894.2138539237133
456471.556969697,6780446.383030304,1895.2176457086514
456566.68272727274,6780446.383030304,1899.9197653454403
450668.88575757574,6780554.334545455,2064.4449370629736
450764.01151515153,6780554.334545455,2080.4520046620232
450859.13727272727,6780554.334545455,2067.9459958639623
450954.26303030306,6780554.334545455,2052.089822843827
451049.3887878788,6780554.334545455,2035.5802097902274
451144.5145454545,6780554.334545455,2018.0523932449473
451239.6403030303,6780554.334545455,2003.2235664335724
451334.76606060605,6780554.334545455,1980.8752680652462
451429.89181818184,6780554.334545455,1957.6139855045624
451525.0175757576,6780554.334545455,1933.1153292891777
451620.14333333337,6780554.334545455,1904.9246153846555
451715.2690909091,6780554.334545455,1883.195699122024
451810.39484848484,6780554.334545455,1866.1121165501036
451905.5206060606,6780554.334545455,1849.4753451748047
452000.64636363636,6780554.334545455,1837.6245317087132
452095.77212121215,6780554.334545455,1825.5382517482362
452190.8978787879,6780554.334545455,1813.8354545454326
452286.0236363636,6780554.334545455,1806.9972447552382
452381.1493939394,6780554.334545455,1805.1000233100149
452476.27515151515,6780554.334545455,1801.0743822843756
452571.40090909094,6780554.334545455,1804.79
452666.5266666667,6780554.334545455,1812.2981585081766
452761.65242424246,6780554.334545455,1815.908881118907
452856.7781818182,6780554.334545455,1823.9732993320954
452951.90393939393,6780554.334545455,1831.1010927692162
453047.0296969697,6780554.334545455,1836.9842492587838
453142.15545454546,6780554.334545455,1851.7965185980972
453237.28121212125,6780554.334545455,1886.3283039125652
453332.406969697,6780554.334545455,1919.9750053287617
453427.5327272727,6780554.334545455,1950.7497098935528
